Distributor,Supplier,ProductName,Category,Standard,Internal_ID_Reference_Number,UCLA,UCD_H,UCB,UCR,UCM,UCSC,OG,CH,FT,RAC,AGA,AWA,GAP,AHC,MBA,WWF,MSC,OWR,SSB,SFSC,SP,BFC,BBC,FAC,SPP,EFI,MWD,BAP
Chef's Warehouse,BENSDORP,Natural 22-24% Cocoa Powder,Baking Ingredients,"Fair Trade, Rainforest Alliance, ALL SUSTAINABLE",QZ101177,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Chef's Warehouse,BENSDORP,Natural 22-24% cocoa powder,Baking Ingredients,"Fair Trade, Rainforest Alliance, ALL SUSTAINABLE",QZ101177,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Chef's Warehouse,Central Milling,Organic Whole Dark Rye Flour,Grain,"USDA Organic, ALL SUSTAINABLE",928114,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Chef's Warehouse,GIUSTOS,Pizza Flour 00,Grain,"USDA Organic, ALL SUSTAINABLE",927038,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Chef's Warehouse,MIGHTY LEAF,MLT ORGANIC EARL GREY #10004,Coffee/Tea,"USDA Organic, ALL SUSTAINABLE",VN275003,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Chef's Warehouse,MIGHTY LEAF,ORGANIC BREAKFAST TEA 100 CT,Coffee/Tea,"USDA Organic, Fair Trade, ALL SUSTAINABLE",VN275001,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,
Chef's Warehouse,Mary's Chicken,CHICKEN PARTY WINGS,Chicken,"ALL SUSTAINABLE, Certified Humane",10494788,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Chef's Warehouse,TOFURKY,TEMPEH 12/1 LB SOY ORGANIC,Soy Protein,"USDA Organic, ALL SUSTAINABLE",929093,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Chef's Warehouse,UNFI,GARBANZO (CHICKPEA) ORGANIC,Beans,"USDA Organic, ALL SUSTAINABLE",10709654,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Cream Co Meats,Anderson Ranches,Anderson Valley Lamb Leg Boneless HALAL,Lamb,CH,336,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
